inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
ANEGWBSRMWKRAC-UHFFFAOYSA-N,O=C(CCCCCCCn1cc(Nc2ncc(Cl)c(Nc3ccc(F)cc3)n2)cn1)NO,,,5.77
ANMUPVFDIZCWEB-KIHNNLCDSA-N,CCC(=O)CCCCC[C@@H]1NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC1=O,,,5.85
ANMZNMDSWZJYNP-UHFFFAOYSA-N,Cn1cncc1-c1cn(Cc2ccc(C(=O)NO)cc2)c2ccccc12,,,6.4
ANRGNNSUQLCKLH-UHFFFAOYSA-N,O=C(O)CCCCCSc1nnc(-c2ccncc2)n1-c1ccccc1,,,4.96
ANXFRXIOMXAQNA-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(COc3ncccn3)cc2)no1,,,6.14
AODHHUCBDOFHHG-UHFFFAOYSA-N,O=C(NO)c1ccc(CCCS(=O)(=O)c2ccccc2)cc1,,,5.7
AOFVDNFTELWRHV-UHFFFAOYSA-N,O=C(CCCCSc1nc(-c2ccc(-c3ccccc3)cc2)cc(=O)[nH]1)NO,,,6.21
AOHVOSLUDCLZDO-UHFFFAOYSA-N,CC(C)(C)c1ccc(CC(=O)Nc2ccc(C(=O)NO)cc2)cc1,,,7.13
AOINDPPGFJRJDY-QHCPKHFHSA-N,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccc(OCCc3ccccc3)cc2)C(=O)NO)cc1,,,4.08
AONDLOZBRPFGHR-YVKVUSPHSA-N,CC1(C)CC[C@]2(C(=O)NCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCCCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,5.77,
AOQCYGJNZZJEEH-ZKBLBJRCSA-N,N[C@H](C(=O)Nc1cncc(F)c1CC[C@@H]1CN[C@H](COC(=O)NCC(F)(F)F)CO1)[C@@H](c1ccc(F)cc1)c1cccc(F)c1,,8.62,
AORDKLWQKPQXIS-NKFKGCMQSA-N,CNC(=O)/C(CCCCCCC(=O)Nc1ccc2ccccc2c1)=N\O,,,4.19
AORYKNYADRTLFB-LHGWWSMPSA-N,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CCC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,,9.06,
AOSANDQFJSELGC-AHYUKCMYSA-N,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,,8.77,
AOSANDQFJSELGC-ZJDJHBDQSA-N,CNC(=O)[C@@H](NC(=O)[C@](O)(CCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,,5.66,
AOXIVZCSTBWQPK-UHFFFAOYSA-N,CC1=NCC(=O)N(Cc2ccc(C3CCCCC3)cc2)c2cc(C(=O)O)ccc21,,4.07,
AOXOYUCWJCCUDO-CMDGGOBGSA-N,O=C(/C=C/c1cccc2ccccc12)NO,,,6.16
AOXXRJNFZDJFQM-PAHYYDIZSA-N,C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(OC)cc3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,6.68,
APGDWCBKLVXBPR-UHFFFAOYSA-N,Oc1cccn(Cc2ccc(Cn3cc(-c4ccccc4)nn3)cc2)c1=S,,,5.26
APKQXDMBJZPYQM-VWLOTQADSA-N,CCC(=O)CCCCC[C@H](NC(=O)C1=NOC2(CCN(C)CC2)C1)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,,,5.54
APXRNEFRWXXNCC-UHFFFAOYSA-N,Fc1ccccc1OCc1ccc(-c2noc(C(F)(F)F)n2)cn1,,,5.46
AQCJTYNEJQLKGL-VTQPPPMWSA-N,C[C@H](NC(=O)CCCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,,5.18,
AQGQYFSOPHFYQU-ZRDIBKRKSA-N,COc1ccc(/C=C/C(=O)NO)c(-c2cccc3ccccc23)c1,,,7.11
AQIBMENUWQQHMX-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)n1ncc2cc(-c3ccccc3)ccc21,,,6.43
AQJOBVFCYXDUFA-VOYXKUBFSA-N,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccccc3-c3cn(CCCCCCC(=O)NO)nn3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,,,5.89
AQMYTLUCXNZIOT-SSBOKUKZSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccc3c(c2)[C@H](N)CCS3(=O)=O)cc1,,7.75,
AQMYTLUCXNZIOT-YTCPBCGMSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccc3c(c2)[C@@H](N)CCS3(=O)=O)cc1,,7.8,
AQOPEYFWBJWJLJ-FCHUYYIVSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)Cn1cnc2c(Cl)nc(N)nc21)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,6.02,
AQTDFBIZOVQUMF-IBGZPJMESA-N,CC1=N[C@@H](Cc2ccccc2)C(=O)Nc2cc(C(=O)OC(C)(C)C)ccc21,,4.19,
AQTDFBIZOVQUMF-LJQANCHMSA-N,CC1=N[C@H](Cc2ccccc2)C(=O)Nc2cc(C(=O)OC(C)(C)C)ccc21,,4.06,
AQWKQPDLUVILLS-UHFFFAOYSA-N,CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2ccc(C(F)(F)F)cc2)C1=O,6.0,,
ARCZPCUZZPPKPX-LBPRGKRZSA-N,O=C1COC[C@@H](c2ccccc2)N1c1cnc(-c2noc(C(F)(F)F)n2)cn1,,,5.21
ARDPYCXCIOGDOV-BUNJHDQMSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3[C@@H]2OC[C@H]3OC)cc1,,10.3,
ARDWVIIRTDNEHG-UHFFFAOYSA-N,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2CCCCCCCCC(=O)NO,,,6.13
ARMZVBSGMUBKGW-ZHACJKMWSA-N,Cc1c(-c2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1CCN1CCOCC1,,,7.1
ARSRPMMXCDOZIA-UHFFFAOYSA-N,O=C(NO)c1ccc(CNC(=O)c2ccc(Cl)c(Cl)c2)cc1,,,6.04
ASAZKTOQPZIBAX-UHFFFAOYSA-N,N#Cc1ccc2c(=O)nc(N3CCN(CC4CCCCC4)CC3)sc2n1,5.11,,
ASBKFWFYFSTTDJ-UHFFFAOYSA-N,O=C(CCCCCCCC(=O)c1ccc(N2CCN(c3ccccc3)CC2)cc1)NO,,,8.35
ASDSYHJRYUYNCP-UHFFFAOYSA-N,O=C(NO)c1ccc(Cn2c(=O)[nH]c(=O)c3ccc(C(F)(F)F)cc32)cc1,,,6.52
ASGMYMLQCXQIRS-CLOKWESESA-N,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CCC1(C)C,,9.85,
ASHPRZYGCOMVHO-WYMLVPIESA-N,COc1ccc(/C=C/C(=O)NO)c(-c2ccc(-c3ccccc3)cc2)c1,,,7.57
ASIJNKHQTPQFCQ-UHFFFAOYSA-N,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,,,4.5
ASMZMXXDTLWPIP-LVECIFTHSA-N,CC[C@@H](C)[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)CCCCC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)CCCCC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,,4.295,
ASOWJZPNLMTBRG-UHFFFAOYSA-N,C[n+]1ccc(Br)cc1,,,5.51
ASPBFJAEYJSTJD-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)N1N=CC2C(Cl)=NC=CC21,,,6.43
ASPSYLVGEUIABX-UHFFFAOYSA-N,O=C(C1CCS(=O)(=O)CC1)N(Cc1ccc(-c2noc(C(F)(F)F)n2)c(F)c1)c1cccc(C(F)(F)F)c1,,,5.16
